      10    -13592.492370946500000  0.82051
      30    -13592.492370946500000  0.81414
      50    -13591.025162713400000  1.50312
      70    -13591.939538400300000  2.11519
      90    -13591.953324500100000  3.16257
     110    -13594.485261708700000  4.55814
     130    -13594.444332861900000  8.80843
     150    -13594.444332861900000 11.24589
     170    -13594.444332861900000 16.23634
     190    -13594.444332861900000 21.26523
     210    -13594.444332861900000 28.05557
     230    -13594.444332861900000 37.58444
     250    -13594.444332861900000 47.09941
     270    -13594.444332861900000 60.40763
     290    -13594.444332861900000 71.85849
     310    -13594.444332861900000 87.78764
     330    -13594.444332861900000 107.38575
     350    -13594.444332861900000 126.71087
     370    -13594.444332861900000 146.93443
     390    -13594.444332861900000 170.48342
     410    -13594.444332861900000 195.65558
     430    -13594.444332861900000 235.76299
     450    -13594.444332861900000 267.54114
     470    -13594.444332861900000 298.70625
     490    -13594.444332861900000 342.11671
